abbreviation,title,field,region,modality,location,deadline,date,url,theme
ADHD,10th World Congress on ADHD,PSYT,INT 🌎,IRL,"Prague, Czech Republic","Jan 15, 2025","May 8–11, 2025",https://www.adhd-congress.org/#:~:text=8%20%2D%2011%20May%202025%20%7C%20Prague%20Congress%20Centre,
APA,American Psychiatric Association,PSYT,INT 🌎,HYBRID,"Los Angeles, CA","Sep 5, 2024 17:00 (UTC−4)","May 17–21, 2025",https://www.psychiatry.org/psychiatrists/meetings/annual-meeting,Lifestyle for Positive Mental and Physical Health
APA,American Psychological Association,PSYC,INT 🌎,,,,,,
CAN,16th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Montreal, QC","Jan 31, 2023","May 28–31, 2023",https://can-acn.org/meeting-2023/,
CAN,17th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Vancouver, QC","Jan 31, 2024","May 19–22, 2024",https://can-acn.org/meeting-2024/,
CAN,18th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Toronto, ON","Jan 31, 2025","May 21–24, 2025",https://can-acn.org/meeting-2025/,
CAN,19th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Montreal, QC","Jan 31, 2026","May 24–27, 2026",https://can-acn.org/meeting-2026/,
CACBT,Canadian Association of Cognitive and Behavioural Therapies,CBT,CAN 🍁,,"Toronto, ON",,"May 9–11, 2024",https://cacbt.ca/en/membership/new-member-registration/,
CHMA,Canadian Mental Health Association,PSYC,CAN 🍁,,,,,https://acsmmontreal.qc.ca/en/,
COGS,Canadian Organization for Gender and Sex Research,OTHER,QC ⚜️,,,"Mar 5, 2022",,https://cogsresearch.ca/meetings/2022-call-for-abstracts/,
CPA,75th Canadian Psychiatric Association,PSYT,CAN 🍁,,,,,https://www.cpa-apc.org/future-conferences/,
CPA,Canadian Psychological Association,PSYC,CAN 🍁,,"St. John’s, NL","Dec 3, 2024","Jun 12-14, 2025",https://convention.cpa.ca/about/,
CPA,Canadian Psychological Association,PSYC,CAN 🍁,,"Montreal, QC",2026,"May 28–30, 2026",https://cpa.ca/cpaconventions/,
CNS,Cognitive Neuroscience Society,NEURO,INT 🌎,VRL 🌐,,,,https://www.cogneurosociety.org/annual-meeting/,
QUARIERA,Colloque de professionnelles et professionnels en emploi,COUNS,QC ⚜️,IRL,"Sherbrooke, QC","Oct 18, 2024","Feb 12–14, 2025",https://quariera.com/,
SQRP,Congrès annuel de la Société Québécoise pour la Recherche en Psychologie,PSYC,QC ⚜️,,,,,https://www.sqrp.ca/,
SIRS,Congress of the Schizophrenia International Research Society,SZ,INT 🌎,IRL,"Chicago, IL","Dec 5, 2024","Mar 29 – Apr 2, 2025",https://sirs.societyconference.com/v2/,
DOUGLAS,Data Blitz,PSYT,QC ⚜️,VRL 🌐,,"Oct 28, 2020",,https://douglas.research.mcgill.ca/sites/default/files/eMayl_call_research_blitz_november_2020_en.pdf,
DOUGLAS,Douglas Research Day,PSYT,QC ⚜️,,,,,https://douglas.research.mcgill.ca/event/2024-research-day/,
EPA,European Congress of Psychiatry,PSYT,INT 🌎,IRL,"Madrid, Spain","Sep 17, 2024","Apr 8, 2025",https://epa-congress.org/abstract-submission/?utm_campaign=abstract&utm_medium=cpc&utm_source=Google&gclid=CjwKCAjw5p_8BRBUEiwAPpJO6zofplOHzt3pHULehbj1IM5AdPZg1wX08f9AdvBK9Pm-VZg8ZncD-hoCw1wQAvD_BwE,
HBHL,Health Brains for Healthy Lives (Research Day),NEURO,QC ⚜️,,,,,https://hbhlsymposium.ca/,
ISPS,International Conference of the International Society for Psychological and Social Approaches to Psychosis,PSYC,INT 🌎,IRL,,,,https://isps2021.it/,
ICCP,International Congress of Cognitive Psychotherapy,PSYC,INT 🌎,VRL 🌐,,"Jan 15, 2021",,https://www.iccp2021.com/call-for-papers/,
ICP,International Congress of Psychology,PSYC,INT 🌎,IRL,,"Jan 18, 2021",,https://www.icp2020.com/,
IEPA,International Early Psychosis Association,SZ,INT 🌎,,,,,https://iepa.org.au/,
ITSS,International Society for Traumatic Stress Studies,OTHER,INT 🌎,,,,,https://istss.org/am20/home.aspx,
NeuroQAM,NeuroQAM journée scientifique,NEURO,CAN 🍁,VRL 🌐,,,,https://neuroqam.uqam.ca/activites-neuroqam/conferences-mensuelles/conferences-a-venir/,
NEUROSYMPOSIUM,Neurosymposium,NEURO,QC ⚜️,HYBRID,,,,https://en.neurosymposium.ca/home,
OHBM,Organization for Human Brain Mapping,NEURO,INT 🌎,HYBRID,"Montreal, QC","Dec 17, 2021",,https://www.humanbrainmapping.org/i4a/pages/index.cfm?pageid=4112,
SOBP,Society for Biological Psychiatry,NEURO,CAN 🍁,IRL,"Toronto, ON","Nov 22, 2024","Apr 24–26, 2025",https://sobp.societyconference.com/v2/,Artificial Intelligence and Mental Health: A New Landscape for Research and Practice
SFN,Society for Neuroscience,NEURO,INT 🌎,IRL,"Chicago, IL",,"Oct 5–9, 2024",https://www.sfn.org/meetings/neuroscience-2024,
WCBCT,World congress of behavioral and cognitive therapies,CBT,INT 🌎,,,,,https://wccbt.org/,
CoP-SMT,Colloque de la Communauté de pratiques internationale santé mentale et travail,WORK,QC ⚜️,HYBRID,,,"Oct 16–18, 2024",https://colloque2024.santementaletravail.ca/,"Santé mentale et travail : s’inspirer, s’outiller, s’allier et innover"
CoP-SMT,Colloque de la Communauté de pratiques internationale santé mentale et travail,WORK,INT 🌎,HYBRID,"Paris, France",2027,2027,https://colloque2024.santementaletravail.ca/,
WPA,World Congress of Psychiatry,PSYT,INT 🌎,VRL 🌐,,"Aug 1, 2024",,https://wcp-congress.com/,
WSFPB,World Congress of Societies of Biological Psychiatry,PSYT,INT 🌎,IRL,"Istanbul, Turkey",,"Jun 5–8, 2024",https://www.wfsbp-congress.org/,
